id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
KN11L003,Canada,Canada,canada-kn11l003,KN11L003,17.333,-62.7
KN11L011,Dalzells,Dalzells,dalzells-kn11l011,KN11L011,17.35,-62.7
KN11L005,Douglas,Douglas,douglas-kn11l005,KN11L005,17.317,-62.717
KN11L009,Golden Rock,Golden Rock,golden-rock-kn11l009,KN11L009,17.317,-62.717
KN11L007,Greatheeds,Greatheeds,greatheeds-kn11l007,KN11L007,17.317,-62.7
KN11L008,John England Village,John England Village,john-england-village-kn11l008,KN11L008,17.321,-62.729
KN11L002,Kittitian Village,Kittitian Village,kittitian-village-kn11l002,KN11L002,17.291,-62.687
KN11L006,Mardenbrough,Mardenbrough,mardenbrough-kn11l006,KN11L006,17.317,-62.717
KN11L004,Ogee's,Ogee's,ogee-s-kn11l004,KN11L004,17.33,-62.733
KN11L001,Parrys,Parrys,parrys-kn11l001,KN11L001,17.317,-62.717
KN11L010,Stapleton,Stapleton,stapleton-kn11l010,KN11L010,17.327,-62.731
KN11L012,Upper Conaree,Upper Conaree,upper-conaree-kn11l012,KN11L012,17.315,-62.707
